version,candidates,scan_points,h2d_ms,kernel_ms,d2h_ms,total_ms,best_score
gpu_cuda,961,1081,112.562239,12.108136,0.223180,125.140329,0.818875
gpu_cuda,961,1081,1.638565,12.188971,0.166774,14.269104,0.842350
gpu_cuda,961,1081,1.587262,10.418894,0.290577,12.803927,0.814950
gpu_cuda,961,1081,1.473927,6.147637,0.153491,8.091414,0.818701
gpu_cuda,961,1081,1.585751,6.151179,0.125367,8.115633,0.884508
gpu_cuda,961,1081,1.498562,6.208106,0.198388,8.714548,0.951436
gpu_cuda,961,1081,1.736638,6.384880,0.450423,9.469611,0.991076
gpu_cuda,961,1081,1.743827,6.193888,0.169482,8.552983,0.979565
gpu_cuda,961,1081,1.806327,6.495142,0.327608,9.173565,0.867933
gpu_cuda,961,1081,2.198311,6.388005,0.174482,9.106116,0.828329
gpu_cuda,961,1081,1.811379,6.286129,0.197503,8.713454,0.776975
gpu_cuda,961,1081,2.182270,7.377342,1.800285,11.828915,0.775970
gpu_cuda,961,1081,2.106852,6.373891,0.156565,9.490393,0.783262
gpu_cuda,961,1081,2.538681,6.456027,0.145106,9.629508,0.769407
gpu_cuda,961,1081,2.105654,7.110880,0.531049,10.572491,0.770507
gpu_cuda,4,1081,1.320383,1.052358,0.123908,2.726548,0.951225
gpu_cuda,4,1081,1.241215,0.898398,0.110002,2.507430,0.822416
gpu_cuda,4,1081,1.384238,0.902252,0.148075,2.682642,0.749136
gpu_cuda,4,1081,1.552678,0.895273,0.270264,2.936603,0.751207
gpu_cuda,4,1081,1.339810,0.901315,0.136669,2.673995,0.777026
gpu_cuda,4,1081,1.543720,0.892929,0.111408,2.785976,0.707381
gpu_cuda,4,1081,1.593772,0.919179,0.113595,2.843686,0.979565
gpu_cuda,4,1081,1.428978,0.896211,0.119220,2.741652,0.946698
gpu_cuda,4,1081,1.564241,0.998972,0.113700,2.917332,0.856585
gpu_cuda,4,1081,1.449603,1.117203,0.159482,3.040928,0.823758
gpu_cuda,4,1081,1.671794,1.050067,0.136825,3.103637,0.773013
gpu_cuda,4,1081,1.582782,1.092880,0.102866,3.002907,0.828166
gpu_cuda,4,1081,1.515125,1.057150,0.105939,2.912436,0.867922
gpu_cuda,4,1081,1.531271,0.900273,0.107137,2.784621,0.860485
gpu_cuda,4,1081,1.454134,0.920689,0.095782,2.678683,0.807894
gpu_cuda,4,1081,1.410645,1.086942,0.202399,2.937333,0.857492
gpu_cuda,4,1081,1.487624,0.892409,0.103178,2.715246,0.778408
gpu_cuda,961,1081,1.366790,6.456600,0.159065,8.242458,0.820540
gpu_cuda,961,1081,1.627627,6.437693,0.165210,8.619911,0.840507
gpu_cuda,961,1081,1.777003,6.474048,0.168961,8.747986,0.815871
gpu_cuda,961,1081,1.804296,6.596601,0.165054,8.944395,0.818701
gpu_cuda,961,1081,1.872734,6.700249,0.200888,9.106168,0.880789
gpu_cuda,961,1081,2.722850,7.229996,0.237659,10.571970,0.951436
gpu_cuda,961,1081,11.103331,6.659050,0.165679,18.410672,0.991076
gpu_cuda,961,1081,2.350136,7.013535,0.423235,10.603012,0.977900
gpu_cuda,961,1081,2.041800,6.796084,0.244535,9.660603,0.863115
gpu_cuda,961,1081,2.244458,6.783375,0.164429,9.729041,0.825144
gpu_cuda,961,1081,2.820299,6.934054,0.199325,10.868588,0.775698
gpu_cuda,961,1081,2.105186,6.997754,0.444850,10.591918,0.775226
gpu_cuda,961,1081,2.484462,6.900356,0.175888,10.013107,0.779188
gpu_cuda,961,1081,2.406388,6.949888,0.173075,10.085088,0.767920
gpu_cuda,961,1081,2.568786,6.872543,0.270785,10.333268,0.770507
gpu_cuda,4,1081,1.475854,1.010743,0.140470,3.147960,0.953634
gpu_cuda,4,1081,2.113363,1.191527,0.300525,4.465427,0.825746
gpu_cuda,4,1081,2.134665,0.898137,0.129690,3.408537,0.753032
gpu_cuda,4,1081,1.396217,0.926836,0.147606,2.871081,0.750739
gpu_cuda,4,1081,1.974558,0.963034,0.277244,3.449579,0.776848
gpu_cuda,4,1081,1.366373,0.949076,0.129533,2.850925,0.703484
gpu_cuda,4,1081,1.511323,0.937565,0.119742,2.802486,0.977900
gpu_cuda,4,1081,1.547261,0.935065,0.125575,2.831446,0.940781
gpu_cuda,4,1081,1.403405,0.911263,0.126252,2.691548,0.842132
gpu_cuda,4,1081,1.567418,1.039702,0.140887,3.082907,0.823014
gpu_cuda,4,1081,1.471010,0.896991,0.104324,2.690506,0.771914
gpu_cuda,4,1081,1.511115,1.092567,0.094064,2.909676,0.865041
gpu_cuda,4,1081,1.373509,0.965014,0.096095,2.645089,0.786168
gpu_cuda,4,1081,1.373040,1.086890,0.091304,2.759517,0.826856
gpu_cuda,4,1081,1.431583,0.884752,0.134637,2.654516,0.862749
gpu_cuda,4,1081,1.319758,0.927252,0.096095,2.545816,0.855312
gpu_cuda,4,1081,1.293195,0.931159,0.143648,2.638890,0.796028
gpu_cuda,961,1081,1.627418,8.019903,1.086942,11.046299,0.821284
gpu_cuda,961,1081,1.512313,6.323942,0.177138,8.271417,0.841606
gpu_cuda,961,1081,1.513511,6.245972,0.326932,8.890905,0.816615
gpu_cuda,961,1081,1.614450,6.203315,0.179377,8.381991,0.817779
gpu_cuda,961,1081,1.559709,6.211336,0.182242,8.304854,0.877670
gpu_cuda,961,1081,1.752004,6.253889,0.133648,8.458242,0.946440
gpu_cuda,961,1081,1.677107,6.386026,0.173909,8.628922,0.991820
gpu_cuda,961,1081,1.928725,6.461496,0.184013,9.026792,0.977512
gpu_cuda,961,1081,2.912904,6.381755,0.152659,9.988628,0.864780
gpu_cuda,961,1081,2.093623,6.530299,0.340890,9.630758,0.828586
gpu_cuda,961,1081,2.099405,6.413891,0.265733,9.875554,0.776442
gpu_cuda,961,1081,2.433732,7.285153,1.842838,12.177148,0.775048
gpu_cuda,961,1081,2.449461,6.343630,0.206253,9.695655,0.778089
gpu_cuda,961,1081,1.843880,6.449204,0.350578,9.506330,0.767742
gpu_cuda,961,1081,1.931849,6.421444,0.219430,8.992208,0.771250
gpu_cuda,4,1081,1.321424,0.953138,0.138700,2.644516,0.948073
gpu_cuda,4,1081,1.572782,1.196058,0.440787,4.010993,0.821139
gpu_cuda,4,1081,1.421582,0.928867,0.131669,2.803008,0.746727
gpu_cuda,4,1081,1.414395,1.063400,0.109012,2.827175,0.748864
gpu_cuda,4,1081,1.663148,0.937096,0.147502,3.216919,0.774439
gpu_cuda,4,1081,16.684138,1.186943,0.145574,18.283118,0.706459
gpu_cuda,4,1081,1.427415,0.925117,0.145939,2.780195,0.977512
gpu_cuda,4,1081,1.439395,0.925169,0.131773,2.734674,0.938906
gpu_cuda,4,1081,1.534032,0.916784,0.126981,2.937749,0.845107
gpu_cuda,4,1081,1.986538,0.912044,0.146981,3.542184,0.820638
gpu_cuda,4,1081,2.142322,0.913450,0.126513,3.431714,0.772400
gpu_cuda,4,1081,1.775598,2.259511,0.171096,4.485427,0.869021
gpu_cuda,4,1081,1.357675,0.902982,0.134637,2.641547,0.863072
gpu_cuda,4,1081,1.229600,0.888190,0.104689,2.455242,0.805275
gpu_cuda,4,1081,1.330591,0.900482,0.105522,2.557275,0.825546
gpu_cuda,4,1081,1.305070,1.040952,0.130836,2.693787,0.857848
gpu_cuda,4,1081,1.422936,0.876002,0.235993,2.770612,0.777486
gpu_cuda,961,1081,1.559240,6.520091,0.188388,8.509388,0.819974
gpu_cuda,961,1081,1.638825,6.525871,0.142085,8.651734,0.838276
gpu_cuda,961,1081,1.390227,6.532903,0.136668,8.430951,0.816793
gpu_cuda,961,1081,1.563824,6.620613,0.207346,8.757777,0.818701
