version,candidates,scan_points,width,height,best_score,time_ms
baseline,4,1081,467,314,0.747394,0.174586
baseline,4,1081,467,314,0.757066,0.180263
baseline,4,1081,467,314,0.617703,0.176408
baseline,2601,1081,467,314,0.932492,104.184405
baseline,2601,1081,467,314,0.912543,104.093050
baseline,2601,1081,467,314,0.910410,104.440554
baseline,2601,1081,467,314,0.935514,103.994507
baseline,2601,1081,467,314,0.927885,104.016695
baseline,2601,1081,467,314,0.920139,104.618316
baseline,2601,1081,467,314,0.883652,104.048310
baseline,2601,1081,467,314,0.844080,104.147687
baseline,2601,1081,467,314,0.836756,104.101852
baseline,2601,1081,467,314,0.855058,104.214874
baseline,2601,1081,467,314,0.850839,104.056696
baseline,2601,1081,467,314,0.846021,104.198832
baseline,2601,1081,467,314,0.840250,104.504357
baseline,2601,1081,467,314,0.841236,104.082581
baseline,2601,1081,467,314,0.830357,104.452377
baseline,4,1081,467,314,0.698028,0.185835
baseline,4,1081,467,314,0.505969,0.180784
baseline,4,1081,467,314,0.407143,0.181668
baseline,4,1081,467,314,0.399057,0.174898
baseline,4,1081,467,314,0.373739,0.174742
baseline,4,1081,467,314,0.323800,0.174742
baseline,4,1081,467,314,0.454140,0.173335
baseline,4,1081,467,314,0.386080,0.174481
baseline,4,1081,467,314,0.352549,0.174377
baseline,4,1081,467,314,0.324235,0.175054
baseline,4,1081,467,314,0.524057,0.175679
baseline,4,1081,467,314,0.435207,0.175888
baseline,4,1081,467,314,0.430339,0.175783
baseline,4,1081,467,314,0.343408,0.175158
baseline,4,1081,467,314,0.421320,0.175575
baseline,4,1081,467,314,0.464468,0.174898
baseline,4,1081,467,314,0.422938,0.173699
baseline,4,1081,467,314,0.707417,0.180106
baseline,4,1081,467,314,0.625129,0.175783
baseline,4,1081,467,314,0.565442,0.174690
baseline,4,1081,467,314,0.567416,0.174794
baseline,4,1081,467,314,0.538187,0.174741
baseline,4,1081,467,314,0.559428,0.174846
baseline,4,1081,467,314,0.412654,0.174429
baseline,4,1081,467,314,0.681573,0.177137
baseline,4,1081,467,314,0.516704,0.175054
baseline,4,1081,467,314,0.468350,0.173909
baseline,4,1081,467,314,0.473084,0.173856
baseline,4,1081,467,314,0.638127,0.174168
baseline,4,1081,467,314,0.475896,0.174482
baseline,4,1081,467,314,0.531817,0.190575
baseline,4,1081,467,314,0.420649,0.174689
baseline,4,1081,467,314,0.717832,0.178648
baseline,4,1081,467,314,0.494259,0.173752
baseline,4,1081,467,314,0.545461,0.173856
baseline,4,1081,467,314,0.485890,0.174013
baseline,4,1081,467,314,0.870835,0.190159
baseline,4,1081,467,314,0.781419,0.180992
baseline,4,1081,467,314,0.641824,0.179481
baseline,4,1081,467,314,0.614997,0.177242
baseline,4,1081,467,314,0.657162,0.178543
baseline,4,1081,467,314,0.758071,0.179272
baseline,4,1081,467,314,0.558902,0.174325
baseline,4,1081,467,314,0.614369,0.176773
baseline,4,1081,467,314,0.873389,0.179742
baseline,4,1081,467,314,0.704050,0.175366
baseline,4,1081,467,314,0.547286,0.212242
baseline,4,1081,467,314,0.562464,0.162241
baseline,4,1081,467,314,0.642292,0.163752
baseline,4,1081,467,314,0.575234,0.172606
baseline,4,1081,467,314,0.831452,0.178804
baseline,4,1081,467,314,0.635871,0.181200
baseline,4,1081,467,314,0.588812,0.176720
baseline,4,1081,467,314,0.828365,0.179013
baseline,4,1081,467,314,0.605761,0.176356
baseline,4,1081,467,314,0.494988,0.176200
baseline,4,1081,467,314,0.777084,0.175523
baseline,4,1081,467,314,0.586614,0.176252
baseline,4,1081,467,314,0.565972,0.175106
baseline,4,1081,467,314,0.821919,0.177814
baseline,4,1081,467,314,0.620413,0.174534
baseline,4,1081,467,314,0.574388,0.173335
baseline,4,1081,467,314,0.636480,0.194169
baseline,4,1081,467,314,0.698689,0.175263
baseline,4,1081,467,314,0.631144,0.175106
baseline,4,1081,467,314,0.559638,0.173856
baseline,4,1081,467,314,0.611500,0.177918
baseline,4,1081,467,314,0.811442,0.176513
baseline,4,1081,467,314,0.576017,0.175366
baseline,4,1081,467,314,0.585228,0.175002
baseline,4,1081,467,314,0.814094,0.175054
baseline,4,1081,467,314,0.571007,0.174012
baseline,4,1081,467,314,0.581582,0.173700
baseline,4,1081,467,314,0.763570,0.174533
baseline,4,1081,467,314,0.563661,0.174638
baseline,4,1081,467,314,0.746255,0.175679
baseline,4,1081,467,314,0.581216,0.180211
baseline,4,1081,467,314,0.822626,0.178127
baseline,4,1081,467,314,0.673574,0.174689
baseline,4,1081,467,314,0.521899,0.181825
baseline,4,1081,467,314,0.629181,0.178909
baseline,4,1081,467,314,0.714150,0.181513
baseline,4,1081,467,314,0.573714,0.176565
baseline,4,1081,467,314,0.668321,0.181356
baseline,4,1081,467,314,0.474332,0.178543
baseline,4,1081,467,314,0.832570,0.176044
baseline,4,1081,467,314,0.626562,0.175992
baseline,4,1081,467,314,0.543567,0.174690
baseline,4,1081,467,314,0.638251,0.178856
baseline,4,1081,467,314,0.770147,0.180575
baseline,4,1081,467,314,0.541434,0.174846
baseline,4,1081,467,314,0.594899,0.176043
baseline,4,1081,467,314,0.730184,0.176929
baseline,4,1081,467,314,0.508585,0.175106
baseline,4,1081,467,314,0.570293,0.174585
baseline,4,1081,467,314,0.743462,0.178961
baseline,4,1081,467,314,0.491937,0.177034
baseline,4,1081,467,314,0.530246,0.176721
baseline,4,1081,467,314,0.672457,0.176877
baseline,4,1081,467,314,0.517451,0.174012
baseline,4,1081,467,314,0.785848,0.176669
baseline,4,1081,467,314,0.605061,0.176617
baseline,4,1081,467,314,0.821433,0.174481
baseline,4,1081,467,314,0.573848,0.175836
baseline,4,1081,467,314,0.522860,0.176356
baseline,4,1081,467,314,0.644516,0.178179
baseline,4,1081,467,314,0.799206,0.176200
baseline,4,1081,467,314,0.615926,0.174325
baseline,4,1081,467,314,0.481373,0.177137
baseline,4,1081,467,314,0.836241,0.173440
baseline,4,1081,467,314,0.671960,0.174273
baseline,4,1081,467,314,0.554189,0.196357
baseline,4,1081,467,314,0.658377,0.177033
baseline,4,1081,467,314,0.542464,0.176877
baseline,4,1081,467,314,0.674212,0.178544
baseline,4,1081,467,314,0.444523,0.181825
baseline,4,1081,467,314,0.686126,0.174741
baseline,4,1081,467,314,0.490207,0.177658
baseline,4,1081,467,314,0.501765,0.176669
baseline,4,1081,467,314,0.793046,0.185367
baseline,4,1081,467,314,0.675645,0.180418
baseline,4,1081,467,314,0.523259,0.178231
baseline,4,1081,467,314,0.615704,0.178857
baseline,4,1081,467,314,0.626620,0.175992
baseline,4,1081,467,314,0.731436,0.176981
baseline,4,1081,467,314,0.545526,0.178335
baseline,4,1081,467,314,0.520165,0.177866
baseline,4,1081,467,314,0.758172,0.180471
baseline,4,1081,467,314,0.580588,0.179794
baseline,4,1081,467,314,0.547935,0.180784
baseline,4,1081,467,314,0.749651,0.180002
baseline,4,1081,467,314,0.539384,0.177294
baseline,4,1081,467,314,0.508266,0.172762
baseline,4,1081,467,314,0.767372,0.178544
baseline,4,1081,467,314,0.641712,0.177659
baseline,4,1081,467,314,0.754682,0.176252
baseline,4,1081,467,314,0.605971,0.174846
baseline,4,1081,467,314,0.617867,0.174273
baseline,4,1081,467,314,0.786109,0.176877
baseline,4,1081,467,314,0.548621,0.174116
baseline,4,1081,467,314,0.532550,0.177398
baseline,4,1081,467,314,0.742163,0.177033
baseline,4,1081,467,314,0.528886,0.177137
baseline,4,1081,467,314,0.498721,0.212659
baseline,4,1081,467,314,0.772074,0.180054
baseline,4,1081,467,314,0.612962,0.175523
baseline,4,1081,467,314,0.586516,0.173075
baseline,4,1081,467,314,0.678765,0.177450
baseline,4,1081,467,314,0.473255,0.177710
baseline,4,1081,467,314,0.791250,0.180054
baseline,4,1081,467,314,0.598494,0.174377
baseline,4,1081,467,314,0.546843,0.174793
baseline,4,1081,467,314,0.777153,0.175731
baseline,4,1081,467,314,0.613049,0.175523
baseline,4,1081,467,314,0.608717,0.183440
baseline,4,1081,467,314,0.672380,0.176773
baseline,4,1081,467,314,0.484598,0.176356
baseline,4,1081,467,314,0.452395,0.176668
baseline,4,1081,467,314,0.734846,0.178752
baseline,4,1081,467,314,0.556130,0.205315
baseline,4,1081,467,314,0.579119,0.176513
baseline,4,1081,467,314,0.761553,0.181356
baseline,4,1081,467,314,0.643928,0.176981
baseline,4,1081,467,314,0.602514,0.173387
baseline,4,1081,467,314,0.699001,0.179325
baseline,4,1081,467,314,0.619383,0.178179
baseline,4,1081,467,314,0.682484,0.176721
baseline,4,1081,467,314,0.648260,0.174586
baseline,4,1081,467,314,0.735122,0.176720
baseline,4,1081,467,314,0.638399,0.175210
baseline,4,1081,467,314,0.608442,0.176044
baseline,4,1081,467,314,0.642227,0.180107
baseline,4,1081,467,314,0.679607,0.180575
baseline,4,1081,467,314,0.556663,0.175263
baseline,4,1081,467,314,0.700600,0.176148
baseline,4,1081,467,314,0.483430,0.199430
baseline,4,1081,467,314,0.555292,0.173804
baseline,4,1081,467,314,0.676803,0.178544
baseline,4,1081,467,314,0.583976,0.176304
baseline,4,1081,467,314,0.710058,0.178179
baseline,4,1081,467,314,0.575760,0.175992
baseline,4,1081,467,314,0.522653,0.173908
baseline,4,1081,467,314,0.606410,0.174481
baseline,4,1081,467,314,0.665023,0.178909
baseline,4,1081,467,314,0.533605,0.173856
baseline,4,1081,467,314,0.680042,0.177293
baseline,4,1081,467,314,0.471419,0.178127
baseline,4,1081,467,314,0.498953,0.176513
baseline,4,1081,467,314,0.744289,0.178543
baseline,4,1081,467,314,0.660289,0.177085
baseline,4,1081,467,314,0.554998,0.180314
baseline,4,1081,467,314,0.524754,0.192398
baseline,4,1081,467,314,0.670886,0.176564
baseline,4,1081,467,314,0.517284,0.175471
baseline,4,1081,467,314,0.709354,0.182606
baseline,4,1081,467,314,0.658755,0.172710
baseline,4,1081,467,314,0.588772,0.179168
baseline,4,1081,467,314,0.748635,0.177711
baseline,4,1081,467,314,0.608293,0.182345
baseline,4,1081,467,314,0.681188,0.175627
baseline,4,1081,467,314,0.487700,0.177137
baseline,4,1081,467,314,0.789893,0.177606
baseline,4,1081,467,314,0.706459,0.178179
baseline,4,1081,467,314,0.551664,0.178127
baseline,4,1081,467,314,0.713167,0.175888
baseline,4,1081,467,314,0.513127,0.177085
baseline,4,1081,467,314,0.486148,0.176773
baseline,4,1081,467,314,0.628002,0.231044
baseline,4,1081,467,314,0.689612,0.175887
baseline,4,1081,467,314,0.411754,0.175731
baseline,4,1081,467,314,0.702726,0.176824
baseline,4,1081,467,314,0.670490,0.176252
baseline,4,1081,467,314,0.590807,0.176565
baseline,4,1081,467,314,0.590985,0.174950
baseline,4,1081,467,314,0.579993,0.177658
baseline,4,1081,467,314,0.774486,0.178439
baseline,4,1081,467,314,0.519758,0.176408
baseline,4,1081,467,314,0.728171,0.177346
baseline,4,1081,467,314,0.500593,0.177970
baseline,4,1081,467,314,0.499218,0.176096
baseline,4,1081,467,314,0.544264,0.176095
baseline,4,1081,467,314,0.653861,0.179586
baseline,4,1081,467,314,0.628946,0.176929
baseline,4,1081,467,314,0.697481,0.194220
baseline,4,1081,467,314,0.462760,0.175054
baseline,4,1081,467,314,0.513047,0.174116
