version,candidates,scan_points,width,height,best_score,time_ms,threads
cpu_omp,256,1081,467,314,0.802953,5.598308,4
cpu_omp,4,1081,467,314,0.979565,0.550685,4
cpu_omp,4,1081,467,314,0.945211,0.979961,4
cpu_omp,4,1081,467,314,0.848227,0.872720,4
cpu_omp,4,1081,467,314,0.856233,0.941003,4
cpu_omp,4,1081,467,314,0.797693,0.845429,4
cpu_omp,4,1081,467,314,0.829265,1.267049,4
cpu_omp,4,1081,467,314,0.723821,0.521726,4
cpu_omp,4,1081,467,314,0.951403,1.050119,4
cpu_omp,4,1081,467,314,0.824226,0.839804,4
cpu_omp,4,1081,467,314,0.782837,0.834491,4
cpu_omp,4,1081,467,314,0.732655,0.843865,4
cpu_omp,4,1081,467,314,0.804596,0.791261,4
cpu_omp,4,1081,467,314,0.777780,0.856314,4
cpu_omp,4,1081,467,314,0.821737,0.873658,4
cpu_omp,4,1081,467,314,0.679589,0.869179,4
cpu_omp,4,1081,467,314,0.719309,0.856314,4
cpu_omp,4,1081,467,314,0.710950,0.853814,4
cpu_omp,4,1081,467,314,0.684098,0.847460,4
cpu_omp,4,1081,467,314,0.801016,0.888085,4
cpu_omp,4,1081,467,314,0.771736,0.865273,4
cpu_omp,4,1081,467,314,0.615280,0.857200,4
cpu_omp,4,1081,467,314,0.756152,4.300893,4
cpu_omp,4,1081,467,314,0.783653,0.949597,4
cpu_omp,4,1081,467,314,0.510461,0.986055,4
cpu_omp,4,1081,467,314,0.713954,0.529069,4
cpu_omp,256,1081,467,314,0.853407,5.580755,4
cpu_omp,256,1081,467,314,0.834413,5.883780,4
cpu_omp,256,1081,467,314,0.800094,6.044095,4
cpu_omp,256,1081,467,314,0.821803,6.012948,4
cpu_omp,256,1081,467,314,0.871949,5.672736,4
cpu_omp,256,1081,467,314,0.940944,6.193264,4
cpu_omp,256,1081,467,314,1.000000,5.603047,4
cpu_omp,256,1081,467,314,1.000000,4.835797,4
cpu_omp,256,1081,467,314,1.000000,5.306324,4
cpu_omp,256,1081,467,314,0.991885,8.040998,4
cpu_omp,256,1081,467,314,0.927057,5.781487,4
cpu_omp,256,1081,467,314,0.878703,5.617475,4
cpu_omp,256,1081,467,314,0.841650,5.811436,4
cpu_omp,256,1081,467,314,0.801288,5.731903,4
cpu_omp,256,1081,467,314,0.803341,4.380843,4
cpu_omp,4,1081,467,314,0.975281,0.972462,4
cpu_omp,4,1081,467,314,0.933377,0.539018,4
cpu_omp,4,1081,467,314,0.834195,1.136266,4
cpu_omp,4,1081,467,314,0.846841,0.940950,4
cpu_omp,4,1081,467,314,0.795737,0.941420,4
cpu_omp,4,1081,467,314,0.828521,1.011837,4
cpu_omp,4,1081,467,314,0.728403,0.949701,4
cpu_omp,4,1081,467,314,0.951048,0.946107,4
cpu_omp,4,1081,467,314,0.822982,0.985847,4
cpu_omp,4,1081,467,314,0.780283,0.527820,4
cpu_omp,4,1081,467,314,0.714785,0.933242,4
cpu_omp,4,1081,467,314,0.803109,0.853970,4
cpu_omp,4,1081,467,314,0.778313,0.864387,4
cpu_omp,4,1081,467,314,0.823758,0.857252,4
cpu_omp,4,1081,467,314,0.676679,0.851887,4
cpu_omp,4,1081,467,314,0.719276,0.844335,4
cpu_omp,4,1081,467,314,0.711661,0.858137,4
cpu_omp,4,1081,467,314,0.682788,0.629435,4
cpu_omp,4,1081,467,314,0.803247,0.854855,4
cpu_omp,4,1081,467,314,0.615668,0.858814,4
cpu_omp,4,1081,467,314,0.771348,0.862981,4
cpu_omp,4,1081,467,314,0.753921,1.046890,4
cpu_omp,4,1081,467,314,0.783653,0.706312,4
cpu_omp,4,1081,467,314,0.511981,0.938242,4
cpu_omp,4,1081,467,314,0.717495,0.935117,4
cpu_omp,4,1081,467,314,0.644668,0.560164,4
cpu_omp,4,1081,467,314,0.670566,0.844491,4
cpu_omp,4,1081,467,314,0.773986,0.940326,4
cpu_omp,4,1081,467,314,0.698790,0.862824,4
cpu_omp,256,1081,467,314,0.853407,2.747017,4
cpu_omp,256,1081,467,314,0.836078,2.577640,4
cpu_omp,256,1081,467,314,0.800838,3.883909,4
cpu_omp,256,1081,467,314,0.821237,2.895145,4
cpu_omp,256,1081,467,314,0.873436,4.917568,4
