version,candidates,scan_points,width,height,best_score,time_ms
baseline,256,1081,467,314,0.853407,12.618974
baseline,256,1081,467,314,0.837743,12.642203
baseline,256,1081,467,314,0.800094,11.568282
baseline,256,1081,467,314,0.824567,11.296195
baseline,256,1081,467,314,0.871949,11.225309
baseline,256,1081,467,314,0.942965,11.239320
baseline,256,1081,467,314,1.000000,11.233434
baseline,256,1081,467,314,1.000000,11.218642
baseline,256,1081,467,314,1.000000,11.250725
baseline,256,1081,467,314,0.991885,11.259060
baseline,256,1081,467,314,0.927801,11.247183
baseline,256,1081,467,314,0.877960,11.208069
baseline,256,1081,467,314,0.841472,11.267809
baseline,256,1081,467,314,0.801288,11.375676
baseline,256,1081,467,314,0.801320,11.292028
baseline,4,1081,467,314,0.951225,0.189794
baseline,4,1081,467,314,0.822416,0.190106
baseline,4,1081,467,314,0.749136,0.188700
baseline,4,1081,467,314,0.751207,0.174638
baseline,4,1081,467,314,0.778408,0.176200
baseline,4,1081,467,314,0.658602,0.175836
baseline,4,1081,467,314,0.723999,0.181357
baseline,4,1081,467,314,0.979565,0.176825
baseline,4,1081,467,314,0.946698,0.176200
baseline,4,1081,467,314,0.856585,0.176617
baseline,4,1081,467,314,0.860485,0.174794
baseline,4,1081,467,314,0.807894,0.175783
baseline,4,1081,467,314,0.730457,0.177033
baseline,4,1081,467,314,0.828166,0.176460
baseline,4,1081,467,314,0.809690,0.178388
baseline,4,1081,467,314,0.778234,0.177815
baseline,4,1081,467,314,0.823758,0.179742
baseline,4,1081,467,314,0.675758,0.177033
baseline,4,1081,467,314,0.719987,0.176930
baseline,4,1081,467,314,0.713860,0.177086
baseline,4,1081,467,314,0.683322,0.186878
baseline,4,1081,467,314,0.802681,0.177034
baseline,4,1081,467,314,0.773013,0.179586
baseline,4,1081,467,314,0.616412,0.181565
baseline,4,1081,467,314,0.757639,0.181513
baseline,4,1081,467,314,0.783653,0.178753
baseline,4,1081,467,314,0.507874,0.178128
baseline,256,1081,467,314,0.853407,11.394634
baseline,256,1081,467,314,0.838842,11.327081
baseline,256,1081,467,314,0.801937,11.326092
baseline,256,1081,467,314,0.820493,11.268851
baseline,256,1081,467,314,0.874002,11.269789
baseline,256,1081,467,314,0.941688,11.206662
baseline,256,1081,467,314,1.000000,11.225048
baseline,256,1081,467,314,1.000000,11.205568
baseline,256,1081,467,314,1.000000,11.251975
baseline,256,1081,467,314,0.991885,11.215413
baseline,256,1081,467,314,0.927235,11.213433
baseline,256,1081,467,314,0.880191,11.216194
baseline,256,1081,467,314,0.842394,11.266247
baseline,256,1081,467,314,0.802032,11.329217
baseline,256,1081,467,314,0.801498,11.332654
baseline,4,1081,467,314,0.729325,0.188648
baseline,4,1081,467,314,0.682201,0.185003
baseline,4,1081,467,314,0.527921,0.184481
baseline,4,1081,467,314,0.480826,0.194065
baseline,4,1081,467,314,0.606261,0.178232
baseline,4,1081,467,314,0.510555,0.175575
baseline,4,1081,467,314,0.504235,0.174325
baseline,4,1081,467,314,0.566795,0.175523
baseline,4,1081,467,314,0.463786,0.175262
baseline,4,1081,467,314,0.461733,0.228909
baseline,4,1081,467,314,0.828166,0.176356
baseline,4,1081,467,314,0.795672,0.228544
baseline,4,1081,467,314,0.716522,0.175680
baseline,4,1081,467,314,0.736199,0.175523
baseline,4,1081,467,314,0.750460,0.175731
baseline,4,1081,467,314,0.652522,0.174742
baseline,4,1081,467,314,0.981230,0.176252
baseline,4,1081,467,314,0.942624,0.179377
baseline,4,1081,467,314,0.855341,0.179742
baseline,4,1081,467,314,0.861406,0.195002
baseline,4,1081,467,314,0.802122,0.181357
baseline,4,1081,467,314,0.718826,0.184169
baseline,4,1081,467,314,0.951969,0.181148
baseline,4,1081,467,314,0.824614,0.180106
baseline,4,1081,467,314,0.789498,0.229431
baseline,4,1081,467,314,0.811402,0.181773
baseline,4,1081,467,314,0.780690,0.177242
baseline,4,1081,467,314,0.823014,0.179482
baseline,4,1081,467,314,0.679443,0.177502
baseline,4,1081,467,314,0.723528,0.176357
baseline,4,1081,467,314,0.713294,0.176097
baseline,4,1081,467,314,0.685407,0.178492
baseline,4,1081,467,314,0.774145,0.180888
baseline,4,1081,467,314,0.801759,0.178232
baseline,4,1081,467,314,0.616590,0.206722
baseline,4,1081,467,314,0.758172,0.178909
baseline,4,1081,467,314,0.782910,0.176461
baseline,4,1081,467,314,0.508828,0.180627
baseline,256,1081,467,314,0.854151,11.371039
baseline,256,1081,467,314,0.836433,11.297341
baseline,256,1081,467,314,0.801016,11.289007
baseline,256,1081,467,314,0.821980,11.239059
baseline,256,1081,467,314,0.873258,11.275882
baseline,256,1081,467,314,0.940556,11.210517
baseline,256,1081,467,314,1.000000,11.203746
baseline,256,1081,467,314,1.000000,11.214475
baseline,256,1081,467,314,1.000000,11.203642
baseline,256,1081,467,314,0.991885,11.255882
baseline,256,1081,467,314,0.927057,11.369269
baseline,256,1081,467,314,0.879447,11.222705
baseline,256,1081,467,314,0.842394,11.278018
baseline,256,1081,467,314,0.801288,11.366821
baseline,256,1081,467,314,0.802064,11.271403
baseline,4,1081,467,314,0.729535,0.206566
baseline,4,1081,467,314,0.680147,0.184273
baseline,4,1081,467,314,0.515278,0.185419
baseline,4,1081,467,314,0.471724,0.180523
baseline,4,1081,467,314,0.621393,0.179221
baseline,4,1081,467,314,0.521790,0.173909
baseline,4,1081,467,314,0.519544,0.175992
baseline,4,1081,467,314,0.553797,0.177502
baseline,4,1081,467,314,0.449479,0.175888
baseline,4,1081,467,314,0.476719,0.178648
baseline,4,1081,467,314,0.953634,0.187868
baseline,4,1081,467,314,0.825746,0.178336
baseline,4,1081,467,314,0.753032,0.179169
baseline,4,1081,467,314,0.750739,0.176408
baseline,4,1081,467,314,0.786168,0.228545
baseline,4,1081,467,314,0.668771,0.176044
baseline,4,1081,467,314,0.826856,0.178440
baseline,4,1081,467,314,0.794007,0.177450
baseline,4,1081,467,314,0.715746,0.177086
baseline,4,1081,467,314,0.739740,0.175628
baseline,4,1081,467,314,0.745287,0.176357
baseline,4,1081,467,314,0.977900,0.178544
baseline,4,1081,467,314,0.940781,0.179690
baseline,4,1081,467,314,0.842132,0.176097
baseline,4,1081,467,314,0.855312,0.175836
baseline,4,1081,467,314,0.796028,0.176044
baseline,4,1081,467,314,0.724210,0.177659
baseline,4,1081,467,314,0.801509,0.179430
baseline,4,1081,467,314,0.776714,0.178753
baseline,4,1081,467,314,0.823014,0.180732
baseline,4,1081,467,314,0.676291,0.177763
baseline,4,1081,467,314,0.720941,0.176513
baseline,4,1081,467,314,0.712761,0.195732
baseline,4,1081,467,314,0.681899,0.179690
baseline,4,1081,467,314,0.804168,0.179534
baseline,4,1081,467,314,0.771914,0.180680
baseline,4,1081,467,314,0.614036,0.179221
baseline,4,1081,467,314,0.782732,0.177971
baseline,4,1081,467,314,0.756718,0.178023
baseline,4,1081,467,314,0.507163,0.178388
baseline,4,1081,467,314,0.716363,0.184325
baseline,4,1081,467,314,0.645800,0.178024
baseline,256,1081,467,314,0.853407,11.392863
baseline,256,1081,467,314,0.841429,11.307341
baseline,256,1081,467,314,0.801371,11.316508
baseline,256,1081,467,314,0.819038,11.309893
baseline,256,1081,467,314,0.873436,11.284997
baseline,256,1081,467,314,0.943143,11.215048
baseline,256,1081,467,314,1.000000,11.201037
baseline,256,1081,467,314,1.000000,11.205413
baseline,256,1081,467,314,1.000000,11.206454
baseline,256,1081,467,314,0.991885,11.234007
baseline,256,1081,467,314,0.927057,11.243486
baseline,256,1081,467,314,0.877960,11.202808
baseline,256,1081,467,314,0.841650,11.252444
baseline,256,1081,467,314,0.801288,11.350571
baseline,256,1081,467,314,0.802420,11.342342
baseline,4,1081,467,314,0.825546,0.207295
baseline,4,1081,467,314,0.791210,0.185784
baseline,4,1081,467,314,0.715035,0.185523
baseline,4,1081,467,314,0.738253,0.174065
baseline,4,1081,467,314,0.746952,0.173805
baseline,4,1081,467,314,0.654430,0.174221
baseline,4,1081,467,314,0.725639,0.174847
baseline,4,1081,467,314,0.948073,0.181201
baseline,4,1081,467,314,0.821139,0.180055
