version,candidates,scan_points,width,height,best_score,time_ms
baseline,961,1081,467,314,0.822771,44.835231
baseline,961,1081,467,314,0.841784,40.356697
baseline,961,1081,467,314,0.815871,40.166175
baseline,961,1081,467,314,0.817957,40.613471
baseline,961,1081,467,314,0.880612,40.508782
baseline,961,1081,467,314,0.949027,40.245759
baseline,961,1081,467,314,0.991076,40.569616
baseline,961,1081,467,314,0.976768,40.348676
baseline,961,1081,467,314,0.864037,40.242738
baseline,961,1081,467,314,0.827487,40.252165
baseline,961,1081,467,314,0.778284,40.595866
baseline,961,1081,467,314,0.778557,41.860098
baseline,961,1081,467,314,0.781419,40.438208
baseline,961,1081,467,314,0.767176,40.609877
baseline,961,1081,467,314,0.769585,40.751493
baseline,4,1081,467,314,0.951791,0.192033
baseline,4,1081,467,314,0.824259,0.188283
baseline,4,1081,467,314,0.746161,0.186825
baseline,4,1081,467,314,0.750529,0.174168
baseline,4,1081,467,314,0.774261,0.176564
baseline,4,1081,467,314,0.712975,0.175678
baseline,4,1081,467,314,0.976768,0.178387
baseline,4,1081,467,314,0.935398,0.175679
baseline,4,1081,467,314,0.840855,0.174585
baseline,4,1081,467,314,0.824113,0.178283
baseline,4,1081,467,314,0.772756,0.180002
baseline,4,1081,467,314,0.823348,0.209325
baseline,4,1081,467,314,0.861294,0.178752
baseline,4,1081,467,314,0.853857,0.177138
baseline,4,1081,467,314,0.794573,0.236982
baseline,4,1081,467,314,0.854340,0.181408
baseline,4,1081,467,314,0.772879,0.178179
baseline,4,1081,467,314,0.768958,0.180731
baseline,961,1081,467,314,0.819974,41.155663
baseline,961,1081,467,314,0.842528,40.957693
baseline,961,1081,467,314,0.815871,40.533626
baseline,961,1081,467,314,0.817779,40.186331
baseline,961,1081,467,314,0.882665,40.439406
baseline,961,1081,467,314,0.948283,42.286716
baseline,961,1081,467,314,0.991820,40.264821
baseline,961,1081,467,314,0.976768,40.399146
baseline,961,1081,467,314,0.866268,40.902276
baseline,961,1081,467,314,0.826954,41.174206
baseline,961,1081,467,314,0.779950,40.373573
baseline,961,1081,467,314,0.776148,40.744149
baseline,961,1081,467,314,0.779576,40.744305
baseline,961,1081,467,314,0.767176,40.415864
baseline,961,1081,467,314,0.771250,40.530761
baseline,4,1081,467,314,0.949172,0.191825
baseline,4,1081,467,314,0.823725,0.186460
baseline,4,1081,467,314,0.749879,0.188699
baseline,4,1081,467,314,0.748443,0.176148
baseline,4,1081,467,314,0.776848,0.176147
baseline,4,1081,467,314,0.706281,0.227919
baseline,4,1081,467,314,0.976768,0.180939
baseline,4,1081,467,314,0.941492,0.196876
baseline,4,1081,467,314,0.847306,0.175887
baseline,4,1081,467,314,0.823014,0.180054
baseline,4,1081,467,314,0.774501,0.178596
baseline,4,1081,467,314,0.826112,0.182241
baseline,4,1081,467,314,0.862183,0.182658
baseline,4,1081,467,314,0.855490,0.175575
baseline,4,1081,467,314,0.797693,0.229273
baseline,4,1081,467,314,0.859691,0.176616
baseline,4,1081,467,314,0.780073,0.175471
baseline,961,1081,467,314,0.819797,41.121184
baseline,961,1081,467,314,0.844193,40.826754
baseline,961,1081,467,314,0.815871,40.426802
baseline,961,1081,467,314,0.817957,40.195602
baseline,961,1081,467,314,0.880256,40.383208
baseline,961,1081,467,314,0.950514,40.585293
baseline,961,1081,467,314,0.993307,40.254353
baseline,961,1081,467,314,0.978255,42.553282
baseline,961,1081,467,314,0.868676,40.591700
baseline,961,1081,467,314,0.830252,40.661492
baseline,961,1081,467,314,0.777719,40.290863
baseline,961,1081,467,314,0.776891,40.428208
baseline,961,1081,467,314,0.784539,40.703940
baseline,961,1081,467,314,0.766999,40.428260
baseline,961,1081,467,314,0.769941,40.526595
baseline,4,1081,467,314,0.953990,0.190731
baseline,4,1081,467,314,0.825002,0.187397
baseline,4,1081,467,314,0.747325,0.240262
baseline,4,1081,467,314,0.749785,0.230158
baseline,4,1081,467,314,0.774439,0.175626
baseline,4,1081,467,314,0.701819,0.174324
baseline,4,1081,467,314,0.978255,0.231982
baseline,4,1081,467,314,0.944499,0.174898
baseline,4,1081,467,314,0.854354,0.174012
baseline,4,1081,467,314,0.820460,0.212190
baseline,4,1081,467,314,0.774323,0.167085
baseline,4,1081,467,314,0.868843,0.215471
baseline,4,1081,467,314,0.862894,0.175470
baseline,4,1081,467,314,0.804353,0.174012
baseline,4,1081,467,314,0.829798,0.180627
baseline,4,1081,467,314,0.863764,0.177138
baseline,4,1081,467,314,0.781560,0.178960
baseline,961,1081,467,314,0.817355,41.247123
baseline,961,1081,467,314,0.842528,40.788942
baseline,961,1081,467,314,0.816615,40.537064
baseline,961,1081,467,314,0.817779,40.253676
baseline,961,1081,467,314,0.881032,40.487376
baseline,961,1081,467,314,0.945131,40.603888
baseline,961,1081,467,314,0.991820,40.241436
baseline,961,1081,467,314,0.979743,40.403521
baseline,961,1081,467,314,0.864603,40.571231
baseline,961,1081,467,314,0.826065,40.915766
baseline,961,1081,467,314,0.775487,40.336645
baseline,961,1081,467,314,0.775048,40.540033
baseline,961,1081,467,314,0.776035,40.714774
baseline,961,1081,467,314,0.768842,40.380604
baseline,961,1081,467,314,0.771250,40.540033
baseline,4,1081,467,314,0.947151,0.188908
