version,candidates,scan_points,h2d_ms,kernel_ms,d2h_ms,total_ms,best_score
gpu_cuda,2601,1081,104.151908,28.560291,0.241410,133.241737,0.874209
gpu_cuda,2601,1081,1.946225,28.290443,0.196930,30.717873,0.878152
gpu_cuda,2601,1081,1.804348,17.563315,0.183856,19.809961,0.869115
gpu_cuda,2601,1081,1.371478,14.219936,0.176617,16.033659,0.847712
gpu_cuda,2601,1081,1.889089,14.437804,0.168805,16.761638,0.884508
gpu_cuda,2601,1081,1.457468,14.326761,0.178128,16.223662,0.951436
gpu_cuda,2601,1081,1.455176,14.503899,0.169533,16.383872,0.991076
gpu_cuda,2601,1081,1.495072,14.412023,0.186461,16.386112,0.979565
gpu_cuda,2601,1081,1.422207,14.530826,0.175002,16.404133,0.867933
gpu_cuda,2601,1081,1.673981,25.842180,0.493028,28.262474,0.828329
gpu_cuda,2601,1081,1.439031,14.650098,0.181878,16.534500,0.776975
gpu_cuda,2601,1081,1.484396,14.544888,0.177606,16.463874,0.775970
gpu_cuda,2601,1081,1.479344,14.672599,0.163752,16.574552,0.783262
gpu_cuda,2601,1081,1.589032,9.832793,0.132814,11.800423,0.769407
gpu_cuda,2601,1081,1.286633,9.911751,0.132762,11.571879,0.770507
gpu_cuda,4,1081,1.210954,0.683916,0.100626,2.220396,0.951225
gpu_cuda,4,1081,1.151214,0.694229,0.104012,2.160394,0.822416
gpu_cuda,4,1081,1.140588,0.611675,0.091616,2.052893,0.749136
gpu_cuda,4,1081,1.193558,0.666415,0.094377,2.164145,0.751207
gpu_cuda,4,1081,1.118401,0.613759,0.103543,2.045028,0.777026
gpu_cuda,4,1081,1.229600,0.619748,0.100991,2.163936,0.707381
gpu_cuda,4,1081,1.111109,0.612665,0.098855,2.115915,0.979565
gpu_cuda,4,1081,1.106994,0.613759,0.093960,2.030237,0.946698
gpu_cuda,4,1081,1.117099,0.630477,0.088127,2.052788,0.856585
gpu_cuda,4,1081,1.226684,0.613290,0.103179,2.161436,0.823758
gpu_cuda,4,1081,1.163401,0.610009,0.086459,2.077164,0.773013
gpu_cuda,4,1081,1.144443,0.613237,0.105887,2.072321,0.621211
