version,candidates,scan_points,h2d_ms,kernel_ms,d2h_ms,total_ms,best_score
gpu_cuda,2601,1081,88.101199,28.909125,0.711625,118.373104,0.873465
gpu_cuda,2601,1081,1.810495,28.088384,0.335630,31.101449,0.878896
gpu_cuda,2601,1081,2.235137,28.700424,1.717265,33.800500,0.866707
gpu_cuda,2601,1081,2.497016,43.118815,10.196661,56.828340,0.849021
gpu_cuda,2601,1081,2.269408,8.147568,0.292868,11.589182,0.880612
gpu_cuda,2601,1081,1.997425,6.365719,0.426048,9.745561,0.949027
gpu_cuda,2601,1081,1.795547,6.145091,0.219065,9.288836,0.991076
gpu_cuda,2601,1081,1.904560,5.924410,0.121617,11.167196,0.976768
gpu_cuda,2601,1081,1.922789,7.790064,1.265123,11.621474,0.864037
gpu_cuda,2601,1081,1.912059,6.038110,0.145836,8.595961,0.827487
gpu_cuda,2601,1081,2.281493,6.115038,0.152866,8.899402,0.778284
gpu_cuda,2601,1081,2.250814,6.548638,1.579138,12.006480,0.778557
gpu_cuda,2601,1081,1.593148,11.900592,1.201580,15.284810,0.781419
gpu_cuda,2601,1081,1.854194,9.892386,0.264639,12.781178,0.767176
gpu_cuda,2601,1081,1.850756,11.601890,1.144808,15.210172,0.769585
gpu_cuda,4,1081,1.330853,0.689073,0.132346,2.385712,0.951791
gpu_cuda,4,1081,1.198872,0.690687,0.126513,2.236856,0.824259
gpu_cuda,4,1081,1.220383,0.626519,0.142658,2.294825,0.746161
gpu_cuda,4,1081,1.146059,0.608290,0.102501,2.074666,0.750529
gpu_cuda,4,1081,1.155746,0.620165,0.133439,2.145031,0.774261
gpu_cuda,4,1081,1.114183,0.623863,0.110678,2.070552,0.712975
gpu_cuda,4,1081,1.156528,0.622509,0.111408,2.102271,0.976768
gpu_cuda,4,1081,1.129392,0.610790,0.098283,2.063416,0.935398
gpu_cuda,4,1081,1.209601,0.673864,0.124534,2.209824,0.840855
gpu_cuda,4,1081,1.229862,0.660635,0.128648,2.218939,0.824113
gpu_cuda,4,1081,1.145902,0.621416,0.097397,2.072582,0.772756
gpu_cuda,4,1081,1.160851,0.629645,0.109064,2.103938,0.620290
gpu_cuda,4,1081,1.137986,0.615895,0.098283,2.048416,0.656342
gpu_cuda,4,1081,1.143559,0.623030,0.100522,2.072166,0.630458
gpu_cuda,4,1081,1.097829,0.620738,0.104169,2.019144,0.823348
gpu_cuda,4,1081,1.182309,0.621051,0.102085,2.101489,0.861294
gpu_cuda,4,1081,1.119756,0.620269,0.097866,2.032999,0.853857
gpu_cuda,4,1081,1.156580,0.624488,0.116512,2.139303,0.794573
gpu_cuda,4,1081,1.156319,0.618916,0.095730,2.106906,0.854340
gpu_cuda,4,1081,1.108454,0.617144,0.097241,2.013206,0.772879
gpu_cuda,4,1081,1.159184,0.624853,0.096721,2.105761,0.643326
gpu_cuda,4,1081,1.166476,0.623864,0.096251,2.089979,0.768958
gpu_cuda,2601,1081,1.261633,9.432275,0.135627,11.061257,0.872544
gpu_cuda,2601,1081,1.237935,11.407981,0.998087,13.998020,0.877974
gpu_cuda,2601,1081,1.781224,9.451233,0.262451,11.895488,0.867628
gpu_cuda,2601,1081,1.607315,10.110774,0.318182,12.628832,0.847922
gpu_cuda,2601,1081,1.776589,9.668841,0.215941,12.580759,0.881000
gpu_cuda,2601,1081,1.708567,10.130619,0.264379,13.039047,0.948283
gpu_cuda,2601,1081,1.877424,9.729311,0.175420,12.301119,0.991820
gpu_cuda,2601,1081,2.123365,11.511785,1.150225,15.262986,0.981230
gpu_cuda,2601,1081,1.763724,10.300673,0.444798,13.512075,0.865702
gpu_cuda,2601,1081,2.122271,10.163223,0.552508,14.306826,0.828764
gpu_cuda,2601,1081,1.875705,9.758530,0.194847,12.796022,0.778252
gpu_cuda,2601,1081,2.068416,9.966241,0.172606,12.720553,0.776148
gpu_cuda,2601,1081,2.112479,9.880667,0.238336,13.401761,0.783795
gpu_cuda,2601,1081,2.057843,10.142962,0.348495,13.461241,0.767920
gpu_cuda,2601,1081,1.861121,11.559806,1.133871,15.213767,0.770329
gpu_cuda,4,1081,1.258664,1.131527,0.458288,4.140686,0.950304
gpu_cuda,4,1081,1.717474,0.835741,0.132346,2.897491,0.823337
gpu_cuda,4,1081,1.230539,0.713395,0.099741,2.249200,0.745628
gpu_cuda,4,1081,1.139288,0.617301,0.106512,2.096020,0.748330
gpu_cuda,4,1081,1.137048,0.625374,0.108231,2.064562,0.774084
gpu_cuda,4,1081,1.109339,0.625947,0.109064,2.032842,0.710388
gpu_cuda,4,1081,1.120016,0.617926,0.109846,2.043104,0.980486
gpu_cuda,4,1081,1.116059,0.617613,0.117137,2.080760,0.942058
gpu_cuda,4,1081,1.293508,0.646155,0.118023,2.269304,0.847937
gpu_cuda,4,1081,1.168299,0.632665,0.105887,2.101906,0.819151
gpu_cuda,4,1081,1.156735,0.625530,0.103283,2.082427,0.772836
gpu_cuda,4,1081,1.242467,0.613655,0.090782,2.154095,0.624153
gpu_cuda,4,1081,1.175799,0.619228,0.138752,2.143313,0.652493
gpu_cuda,4,1081,1.113714,0.614227,0.089688,2.017374,0.869765
gpu_cuda,4,1081,1.125641,0.623603,0.119585,2.073573,0.864559
gpu_cuda,4,1081,1.132361,0.677875,0.119064,2.125761,0.805275
gpu_cuda,4,1081,1.224289,0.679073,0.154742,2.288992,0.631202
gpu_cuda,4,1081,1.140589,0.632717,0.108127,2.094978,0.826468
gpu_cuda,4,1081,1.214549,0.623655,0.101408,2.161646,0.859513
gpu_cuda,4,1081,1.141476,0.605842,0.116929,2.107063,0.777664
gpu_cuda,2601,1081,1.239966,9.833062,0.133023,11.454336,0.874952
gpu_cuda,2601,1081,1.333561,9.593631,0.142971,11.339803,0.876309
gpu_cuda,2601,1081,1.324291,9.707539,0.162762,11.471888,0.866173
gpu_cuda,2601,1081,1.730546,9.503109,0.132137,11.634287,0.848844
gpu_cuda,2601,1081,1.616378,9.992961,0.159065,12.079814,0.879545
gpu_cuda,2601,1081,1.872736,9.863791,0.146565,12.192837,0.947362
gpu_cuda,2601,1081,1.755859,9.818218,0.352505,12.544717,0.993307
gpu_cuda,2601,1081,1.773412,12.076741,0.991213,15.323456,0.981974
gpu_cuda,2601,1081,2.195345,14.461048,3.759274,20.884059,0.869986
gpu_cuda,2601,1081,1.833673,9.690456,0.175003,12.157055,0.827665
gpu_cuda,2601,1081,1.989457,11.611265,1.049807,15.118400,0.775698
gpu_cuda,2601,1081,1.886018,9.808999,0.470632,12.787480,0.776891
gpu_cuda,2601,1081,1.808777,10.373748,0.328078,13.161705,0.779754
gpu_cuda,2601,1081,1.762890,9.869729,0.351985,12.614301,0.767920
gpu_cuda,2601,1081,1.708463,9.959209,0.340838,12.718365,0.769763
gpu_cuda,4,1081,1.190642,0.731053,0.132085,2.268888,0.949738
gpu_cuda,4,1081,1.183351,0.685791,0.122294,2.194668,0.824259
gpu_cuda,4,1081,1.147621,1.082308,0.311099,3.573125,0.747648
gpu_cuda,4,1081,1.387104,0.673656,0.126408,2.397900,0.749720
gpu_cuda,4,1081,1.226841,0.617457,0.108960,2.151177,0.774617
gpu_cuda,4,1081,1.167153,0.629593,0.109220,2.100083,0.706847
gpu_cuda,4,1081,1.183820,0.622144,0.108804,2.118000,0.981974
gpu_cuda,4,1081,1.121840,0.619697,0.141512,2.083729,0.945599
gpu_cuda,4,1081,1.132464,0.623343,0.105523,2.056802,0.851412
gpu_cuda,4,1081,1.112100,0.630530,0.107866,2.041384,0.819151
gpu_cuda,4,1081,1.174392,0.671833,0.205107,2.276857,0.771526
gpu_cuda,4,1081,1.321374,0.820637,0.100939,2.459568,0.623976
gpu_cuda,4,1081,1.139548,0.812929,0.121929,2.315138,0.653803
gpu_cuda,4,1081,1.135798,0.629593,0.108752,2.069458,0.829087
gpu_cuda,4,1081,1.111266,0.622561,0.100835,2.021592,0.631024
gpu_cuda,4,1081,1.114964,0.620217,0.107762,2.038311,0.861922
gpu_cuda,4,1081,1.115902,0.624124,0.110314,2.048363,0.779151
gpu_cuda,4,1081,1.112672,0.628551,0.112449,2.045290,0.859241
gpu_cuda,4,1081,1.280228,0.631051,0.122606,2.238523,0.852548
gpu_cuda,4,1081,1.181840,0.634280,0.127189,2.180397,0.796982
gpu_cuda,2601,1081,1.268300,11.142509,0.915482,13.582336,0.872544
gpu_cuda,2601,1081,1.215695,11.276052,0.840116,13.580930,0.875388
gpu_cuda,2601,1081,1.266217,11.502774,0.993036,14.049999,0.866173
gpu_cuda,2601,1081,1.442261,9.887542,0.223389,12.035959,0.849021
gpu_cuda,2601,1081,1.296633,9.443108,0.173649,11.296365,0.885429
gpu_cuda,2601,1081,1.386791,10.048742,0.137971,11.854290,0.948283
gpu_cuda,2601,1081,1.395541,11.040788,0.986473,13.802652,0.991076
gpu_cuda,2601,1081,1.658097,9.870459,0.218128,12.145387,0.978255
gpu_cuda,2601,1081,1.527470,10.003638,0.175888,12.066949,0.867011
gpu_cuda,2601,1081,1.574346,11.441524,1.082412,14.527142,0.827875
gpu_cuda,2601,1081,1.668775,10.126608,0.449902,12.958577,0.777573
gpu_cuda,2601,1081,1.611847,16.126280,0.168753,18.190582,0.774660
gpu_cuda,2601,1081,9.515870,11.454545,1.225747,22.796431,0.779188
gpu_cuda,2601,1081,1.849975,10.045357,0.185523,12.759251,0.768664
gpu_cuda,2601,1081,1.733932,9.960929,0.417245,12.605499,0.769019
gpu_cuda,4,1081,1.308248,0.681780,0.187398,2.405869,0.951969
gpu_cuda,4,1081,2.531079,0.689229,0.110627,3.596824,0.825713
gpu_cuda,4,1081,1.195955,0.678968,0.118179,2.190137,0.748780
gpu_cuda,4,1081,1.237206,0.645843,0.126565,2.250190,0.747198
gpu_cuda,4,1081,1.134808,0.610634,0.091721,2.033885,0.774795
gpu_cuda,4,1081,1.159340,0.607874,0.090210,2.056333,0.710743
gpu_cuda,4,1081,1.100277,0.688239,0.167815,2.165136,0.978255
gpu_cuda,4,1081,1.177674,0.647458,0.107606,2.132844,0.939649
gpu_cuda,4,1081,1.128194,0.619645,0.100939,2.044718,0.848260
