version,candidates,scan_points,h2d_ms,kernel_ms,d2h_ms,total_ms,best_score
gpu_cuda,2601,1081,99.684146,28.506140,0.249170,128.716700,0.873465
gpu_cuda,2601,1081,1.650440,27.265654,1.852683,31.125865,0.878896
gpu_cuda,2601,1081,1.534918,5.901283,0.152294,7.903187,0.866707
gpu_cuda,2601,1081,1.514241,5.868418,0.172710,8.069804,0.849021
gpu_cuda,2601,1081,1.982320,6.038942,0.100991,8.441737,0.880612
gpu_cuda,2601,1081,1.823256,7.476670,0.971420,10.799322,0.949027
gpu_cuda,2601,1081,1.768879,6.254830,0.421256,9.549617,0.991076
gpu_cuda,2601,1081,1.721118,8.864086,1.072255,12.205644,0.976768
gpu_cuda,2601,1081,1.958310,7.430889,0.299484,10.998961,0.864037
gpu_cuda,2601,1081,1.827578,7.514900,0.182242,9.953009,0.827487
gpu_cuda,2601,1081,1.623513,7.610110,0.201200,9.837798,0.778284
gpu_cuda,2601,1081,2.106749,7.509118,0.185523,10.676195,0.778557
gpu_cuda,2601,1081,2.097895,7.588859,0.201200,10.433431,0.781419
gpu_cuda,2601,1081,1.778619,9.237633,1.162777,12.761486,0.767176
gpu_cuda,2601,1081,2.209720,7.611464,0.188023,10.844167,0.769585
gpu_cuda,4,1081,1.160746,0.600634,0.098908,2.064613,0.951791
gpu_cuda,4,1081,3.209213,1.326269,0.099897,4.968613,0.824259
gpu_cuda,4,1081,1.292310,0.494070,0.095887,2.077895,0.746161
gpu_cuda,4,1081,2.672851,0.498549,0.101407,3.494426,0.750529
gpu_cuda,4,1081,1.208976,0.546102,0.079741,2.033519,0.774261
gpu_cuda,4,1081,1.117724,0.601258,0.083231,1.997372,0.712975
gpu_cuda,4,1081,1.211528,0.481830,0.078074,1.966330,0.976768
gpu_cuda,4,1081,1.162048,0.472559,0.125002,2.103937,0.935398
gpu_cuda,4,1081,1.045484,0.534226,0.077553,1.848308,0.840855
gpu_cuda,4,1081,1.100432,0.520632,0.138752,2.121697,0.824113
gpu_cuda,4,1081,1.099183,0.480163,0.089636,1.853881,0.772756
gpu_cuda,4,1081,1.206320,0.524122,0.110782,2.065655,0.620290
gpu_cuda,4,1081,1.038504,0.470215,0.076824,1.774036,0.656342
gpu_cuda,4,1081,1.160590,0.498705,0.087189,1.952007,0.630458
gpu_cuda,4,1081,1.080485,0.474226,0.079688,1.833256,0.823348
gpu_cuda,4,1081,1.093088,0.476777,0.083752,1.857319,0.861294
gpu_cuda,4,1081,1.058818,0.479278,0.079584,1.819974,0.853857
gpu_cuda,4,1081,1.066735,0.472559,0.113699,1.850808,0.794573
gpu_cuda,4,1081,1.089547,0.479017,0.076512,1.839402,0.854340
gpu_cuda,4,1081,1.049859,0.492351,0.087345,1.882736,0.772879
gpu_cuda,4,1081,1.080380,0.483496,0.086564,1.878152,0.643326
gpu_cuda,4,1081,1.155694,0.508549,0.089845,1.968622,0.768958
gpu_cuda,2601,1081,1.196736,7.237031,0.108543,8.999400,0.873465
gpu_cuda,2601,1081,1.143089,7.434846,0.272504,10.225460,0.878718
gpu_cuda,2601,1081,1.553408,7.269376,0.174794,9.224039,0.867272
gpu_cuda,2601,1081,1.360020,9.071329,1.208924,12.109810,0.847534
gpu_cuda,2601,1081,1.822682,7.726153,0.124064,10.149886,0.883376
gpu_cuda,2601,1081,2.129145,10.151292,0.238389,13.062428,0.948283
