version,candidates,scan_points,h2d_ms,kernel_ms,d2h_ms,total_ms,best_score
gpu_cuda,2601,1081,109.676240,28.426471,0.208284,138.591937,0.873287
gpu_cuda,2601,1081,1.665129,28.459388,0.310994,31.373598,0.876875
gpu_cuda,2601,1081,2.198522,30.704265,1.241998,34.736150,0.866529
gpu_cuda,2601,1081,2.368942,28.833977,0.424955,32.936123,0.847922
gpu_cuda,2601,1081,2.980410,29.293932,0.549852,33.759625,0.883764
gpu_cuda,2601,1081,2.466704,15.279814,0.979754,19.674777,0.946440
gpu_cuda,2601,1081,2.487537,15.178719,0.473966,19.361386,0.991820
gpu_cuda,2601,1081,2.317067,14.830432,0.567040,18.535072,0.976590
gpu_cuda,2601,1081,2.014457,14.594387,0.196878,17.372138,0.870164
gpu_cuda,2601,1081,2.337379,15.049394,0.493653,18.817368,0.832094
gpu_cuda,2601,1081,2.348005,14.806265,0.326464,18.698772,0.777573
gpu_cuda,2601,1081,1.818361,15.057467,0.460580,18.644917,0.777069
gpu_cuda,2601,1081,2.003156,14.830745,0.504330,18.348663,0.780853
gpu_cuda,2601,1081,1.983259,16.990829,1.151424,20.798126,0.766433
gpu_cuda,2601,1081,2.239878,15.377785,0.549905,19.087424,0.771994
gpu_cuda,4,1081,1.620128,1.470751,0.256722,3.828703,0.954200
gpu_cuda,4,1081,3.467761,1.043557,0.126981,4.871532,0.827201
gpu_cuda,4,1081,1.382209,0.889492,0.162242,2.931138,0.746016
gpu_cuda,4,1081,1.347416,0.889023,0.108335,2.566393,0.747521
gpu_cuda,4,1081,1.740703,0.930952,0.109585,2.995410,0.771852
gpu_cuda,4,1081,1.288770,0.890586,0.132711,2.708687,0.705926
gpu_cuda,4,1081,1.530908,0.887773,0.138127,2.882908,0.975847
gpu_cuda,4,1081,1.721172,0.897826,0.113022,2.947128,0.935931
gpu_cuda,4,1081,1.323822,0.880638,0.099064,2.525924,0.846594
gpu_cuda,4,1081,1.339238,0.896940,0.128804,2.739521,0.823758
gpu_cuda,4,1081,1.260592,0.946369,0.173076,2.816970,0.773579
gpu_cuda,4,1081,1.961957,0.935795,0.174378,3.526772,0.619191
gpu_cuda,4,1081,2.372380,0.946056,0.115835,3.653493,0.648064
gpu_cuda,4,1081,1.353979,0.887878,0.145315,2.857074,0.831851
