version,candidates,scan_points,width,height,best_score,time_ms,threads
cpu_omp,961,1081,467,314,0.948816,16.861843,4
cpu_omp,961,1081,467,314,0.990332,16.169958,4
cpu_omp,961,1081,467,314,0.977900,17.162211,4
cpu_omp,961,1081,467,314,0.866268,19.267448,4
cpu_omp,961,1081,467,314,0.828198,19.426304,4
cpu_omp,961,1081,467,314,0.776619,19.533077,4
cpu_omp,961,1081,467,314,0.776714,17.159190,4
cpu_omp,961,1081,467,314,0.780497,10.637800,4
cpu_omp,961,1081,467,314,0.767920,15.190778,4
cpu_omp,961,1081,467,314,0.770329,18.849734,4
cpu_omp,4,1081,467,314,0.950837,1.030170,4
cpu_omp,4,1081,467,314,0.821106,0.557716,4
cpu_omp,4,1081,467,314,0.745062,0.937409,4
cpu_omp,4,1081,467,314,0.750917,0.841001,4
cpu_omp,4,1081,467,314,0.773518,1.234652,4
cpu_omp,4,1081,467,314,0.709644,0.957565,4
cpu_omp,4,1081,467,314,0.977900,0.575476,4
cpu_omp,4,1081,467,314,0.934864,0.851314,4
cpu_omp,4,1081,467,314,0.844429,0.911002,4
cpu_omp,4,1081,467,314,0.818795,1.266163,4
cpu_omp,4,1081,467,314,0.774113,0.761521,4
cpu_omp,4,1081,467,314,0.827034,0.654644,4
cpu_omp,4,1081,467,314,0.860195,0.838397,4
cpu_omp,4,1081,467,314,0.852758,0.838969,4
cpu_omp,4,1081,467,314,0.791986,0.851834,4
cpu_omp,4,1081,467,314,0.850864,1.159286,4
cpu_omp,4,1081,467,314,0.771424,0.487662,4
cpu_omp,961,1081,467,314,0.816822,15.989695,4
cpu_omp,961,1081,467,314,0.844937,18.722857,4
cpu_omp,961,1081,467,314,0.815871,18.193839,4
cpu_omp,961,1081,467,314,0.817779,14.252849,4
cpu_omp,961,1081,467,314,0.878801,24.768929,4
cpu_omp,961,1081,467,314,0.948105,18.477645,4
cpu_omp,961,1081,467,314,0.993307,16.058446,4
cpu_omp,961,1081,467,314,0.980131,18.823535,4
cpu_omp,961,1081,467,314,0.864037,15.135361,4
cpu_omp,961,1081,467,314,0.826033,21.001065,4
cpu_omp,961,1081,467,314,0.776442,19.106820,4
cpu_omp,961,1081,467,314,0.776891,16.980958,4
cpu_omp,961,1081,467,314,0.777523,17.421068,4
cpu_omp,961,1081,467,314,0.768664,18.524313,4
cpu_omp,961,1081,467,314,0.769407,17.077835,4
cpu_omp,4,1081,467,314,0.950304,0.557143,4
cpu_omp,4,1081,467,314,0.817986,0.867407,4
cpu_omp,4,1081,467,314,0.743041,0.848970,4
cpu_omp,4,1081,467,314,0.749995,0.830219,4
cpu_omp,4,1081,467,314,0.775926,0.857303,4
cpu_omp,4,1081,467,314,0.707025,0.880064,4
cpu_omp,4,1081,467,314,0.978644,0.758916,4
cpu_omp,4,1081,467,314,0.941347,0.837772,4
cpu_omp,4,1081,467,314,0.852011,0.844595,4
cpu_omp,4,1081,467,314,0.820428,0.854803,4
cpu_omp,4,1081,467,314,0.772578,1.026680,4
cpu_omp,4,1081,467,314,0.825546,0.879908,4
cpu_omp,4,1081,467,314,0.864026,0.721156,4
cpu_omp,4,1081,467,314,0.856589,0.840167,4
cpu_omp,4,1081,467,314,0.800279,1.244652,4
cpu_omp,4,1081,467,314,0.855649,0.945169,4
cpu_omp,4,1081,467,314,0.775466,0.520892,4
cpu_omp,961,1081,467,314,0.823515,18.843953,4
cpu_omp,961,1081,467,314,0.842172,17.066273,4
cpu_omp,961,1081,467,314,0.816793,15.242445,4
cpu_omp,961,1081,467,314,0.817779,16.510640,4
cpu_omp,961,1081,467,314,0.883586,16.154124,4
cpu_omp,961,1081,467,314,0.949771,18.561240,4
cpu_omp,961,1081,467,314,0.990332,16.647517,4
cpu_omp,961,1081,467,314,0.978999,19.355209,4
cpu_omp,961,1081,467,314,0.871473,19.889488,4
cpu_omp,961,1081,467,314,0.827908,17.260442,4
cpu_omp,961,1081,467,314,0.776619,18.594678,4
cpu_omp,961,1081,467,314,0.776148,14.222588,4
cpu_omp,961,1081,467,314,0.778444,14.666552,4
cpu_omp,961,1081,467,314,0.768842,16.673715,4
cpu_omp,961,1081,467,314,0.769585,14.912389,4
cpu_omp,4,1081,467,314,0.951969,0.583185,4
cpu_omp,4,1081,467,314,0.820751,0.849855,4
cpu_omp,4,1081,467,314,0.749734,0.806678,4
cpu_omp,4,1081,467,314,0.746955,0.839282,4
cpu_omp,4,1081,467,314,0.773695,0.856470,4
cpu_omp,4,1081,467,314,0.700898,0.816313,4
cpu_omp,4,1081,467,314,0.977512,0.893345,4
cpu_omp,4,1081,467,314,0.944467,0.809751,4
cpu_omp,4,1081,467,314,0.842843,0.842668,4
cpu_omp,4,1081,467,314,0.824502,0.915169,4
cpu_omp,4,1081,467,314,0.769991,0.853866,4
cpu_omp,4,1081,467,314,0.833517,0.816574,4
cpu_omp,4,1081,467,314,0.860079,1.893516,4
cpu_omp,4,1081,467,314,0.779928,0.532716,4
cpu_omp,4,1081,467,314,0.858142,0.808605,4
cpu_omp,4,1081,467,314,0.852192,0.944075,4
cpu_omp,4,1081,467,314,0.794395,0.818709,4
cpu_omp,961,1081,467,314,0.822949,15.745369,4
cpu_omp,961,1081,467,314,0.842738,15.347290,4
cpu_omp,961,1081,467,314,0.815871,18.992444,4
cpu_omp,961,1081,467,314,0.817779,18.710513,4
cpu_omp,961,1081,467,314,0.884508,16.004331,4
cpu_omp,961,1081,467,314,0.948283,18.941037,4
cpu_omp,961,1081,467,314,0.990332,16.266887,4
cpu_omp,961,1081,467,314,0.980309,20.109386,4
cpu_omp,961,1081,467,314,0.870164,17.864252,4
cpu_omp,961,1081,467,314,0.827843,17.767688,4
cpu_omp,961,1081,467,314,0.778785,22.815464,4
cpu_omp,961,1081,467,314,0.775970,16.143916,4
cpu_omp,961,1081,467,314,0.779188,18.834265,4
cpu_omp,961,1081,467,314,0.767176,16.705434,4
cpu_omp,961,1081,467,314,0.770507,15.577502,4
cpu_omp,4,1081,467,314,0.949738,1.047045,4
cpu_omp,4,1081,467,314,0.824792,0.583185,4
cpu_omp,4,1081,467,314,0.748214,0.905377,4
cpu_omp,4,1081,467,314,0.746923,0.939075,4
cpu_omp,4,1081,467,314,0.777026,0.862511,4
cpu_omp,4,1081,467,314,0.703307,0.867148,4
cpu_omp,4,1081,467,314,0.978821,1.805701,4
cpu_omp,4,1081,467,314,0.939682,0.527403,4
cpu_omp,4,1081,467,314,0.843086,0.905481,4
cpu_omp,4,1081,467,314,0.823192,0.849907,4
cpu_omp,4,1081,467,314,0.778041,0.854022,4
cpu_omp,4,1081,467,314,0.832029,0.851366,4
cpu_omp,4,1081,467,314,0.860256,0.893502,4
cpu_omp,4,1081,467,314,0.779362,0.845272,4
cpu_omp,4,1081,467,314,0.856865,0.849960,4
cpu_omp,4,1081,467,314,0.850171,0.860272,4
cpu_omp,4,1081,467,314,0.796837,0.863970,4
cpu_omp,961,1081,467,314,0.819053,15.330936,4
cpu_omp,961,1081,467,314,0.841995,18.117172,4
cpu_omp,961,1081,467,314,0.816793,19.194322,4
cpu_omp,961,1081,467,314,0.818701,15.134319,4
cpu_omp,961,1081,467,314,0.883020,18.493740,4
cpu_omp,961,1081,467,314,0.951080,18.018577,4
cpu_omp,961,1081,467,314,0.991820,17.363724,4
cpu_omp,961,1081,467,314,0.978255,15.738494,4
cpu_omp,961,1081,467,314,0.866090,18.725096,4
cpu_omp,961,1081,467,314,0.824966,15.318436,4
cpu_omp,961,1081,467,314,0.775698,17.174347,4
cpu_omp,961,1081,467,314,0.774871,15.215674,4
cpu_omp,961,1081,467,314,0.776423,15.067964,4
cpu_omp,961,1081,467,314,0.766433,15.741515,4
cpu_omp,961,1081,467,314,0.771073,18.266132,4
cpu_omp,4,1081,467,314,0.953634,0.611779,4
cpu_omp,4,1081,467,314,0.829432,2.512013,4
cpu_omp,4,1081,467,314,0.755618,0.824803,4
cpu_omp,4,1081,467,314,0.753050,0.664644,4
cpu_omp,4,1081,467,314,0.774617,0.492871,4
cpu_omp,4,1081,467,314,0.705327,0.071928,4
cpu_omp,4,1081,467,314,0.977512,0.072813,4
cpu_omp,4,1081,467,314,0.948541,0.069636,4
cpu_omp,4,1081,467,314,0.849827,0.257295,4
cpu_omp,4,1081,467,314,0.823370,0.150887,4
cpu_omp,4,1081,467,314,0.772092,0.073647,4
cpu_omp,4,1081,467,314,0.870686,0.109064,4
cpu_omp,4,1081,467,314,0.863249,0.060209,4
cpu_omp,4,1081,467,314,0.810658,0.610581,4
cpu_omp,4,1081,467,314,0.826856,0.099741,4
cpu_omp,4,1081,467,314,0.864508,0.046250,4
cpu_omp,4,1081,467,314,0.786168,0.052709,4
cpu_omp,961,1081,467,314,0.817355,11.090879,4
cpu_omp,961,1081,467,314,0.842528,11.721253,4
cpu_omp,961,1081,467,314,0.816615,10.783531,4
cpu_omp,961,1081,467,314,0.817779,10.899679,4
cpu_omp,961,1081,467,314,0.881032,11.624272,4
cpu_omp,961,1081,467,314,0.945131,11.903494,4
cpu_omp,961,1081,467,314,0.991820,9.888207,4
cpu_omp,961,1081,467,314,0.979743,10.044876,4
cpu_omp,961,1081,467,314,0.864603,19.527139,4
cpu_omp,961,1081,467,314,0.826065,18.043473,4
cpu_omp,961,1081,467,314,0.775487,14.649625,4
cpu_omp,961,1081,467,314,0.775049,15.178539,4
cpu_omp,961,1081,467,314,0.776035,16.031102,4
cpu_omp,961,1081,467,314,0.768842,16.526474,4
cpu_omp,961,1081,467,314,0.771250,18.374259,4
cpu_omp,4,1081,467,314,0.947151,0.565789,4
cpu_omp,4,1081,467,314,0.817809,0.829803,4
cpu_omp,4,1081,467,314,0.745805,0.965274,4
cpu_omp,4,1081,467,314,0.752694,0.822406,4
cpu_omp,4,1081,467,314,0.776104,0.853292,4
cpu_omp,4,1081,467,314,0.699766,0.851262,4
