version,candidates,scan_points,width,height,best_score,time_ms
baseline,256,1081,467,314,0.873436,11.596721
baseline,256,1081,467,314,0.941332,11.341717
baseline,256,1081,467,314,1.000000,11.363853
baseline,256,1081,467,314,1.000000,11.356978
baseline,256,1081,467,314,1.000000,11.309165
baseline,256,1081,467,314,0.992063,11.351352
baseline,256,1081,467,314,0.927057,11.360416
baseline,256,1081,467,314,0.877960,11.437760
baseline,256,1081,467,314,0.842394,11.322706
baseline,256,1081,467,314,0.802775,11.344998
baseline,256,1081,467,314,0.802242,11.361614
baseline,4,1081,467,314,0.824835,0.188648
baseline,4,1081,467,314,0.794185,0.187086
baseline,4,1081,467,314,0.713403,0.190315
baseline,4,1081,467,314,0.730493,0.175054
baseline,4,1081,467,314,0.746741,0.181565
baseline,4,1081,467,314,0.650857,0.179169
baseline,4,1081,467,314,0.721057,0.189950
baseline,4,1081,467,314,0.730602,0.182763
baseline,4,1081,467,314,0.682944,0.186669
baseline,4,1081,467,314,0.976413,0.176930
baseline,4,1081,467,314,0.937984,0.178492
baseline,4,1081,467,314,0.842909,0.188232
baseline,4,1081,467,314,0.857898,0.180107
baseline,4,1081,467,314,0.798614,0.200836
baseline,4,1081,467,314,0.950482,0.190419
baseline,4,1081,467,314,0.824469,0.183127
baseline,4,1081,467,314,0.773623,0.179534
baseline,4,1081,467,314,0.814620,0.193284
baseline,4,1081,467,314,0.779623,0.180055
baseline,4,1081,467,314,0.820816,0.182399
baseline,4,1081,467,314,0.677423,0.183023
baseline,4,1081,467,314,0.722606,0.177503
baseline,4,1081,467,314,0.715380,0.177294
baseline,4,1081,467,314,0.686151,0.183544
baseline,4,1081,467,314,0.774145,0.184794
baseline,4,1081,467,314,0.801016,0.182242
baseline,4,1081,467,314,0.612548,0.184638
baseline,4,1081,467,314,0.752433,0.176617
baseline,4,1081,467,314,0.784397,0.182971
baseline,4,1081,467,314,0.512514,0.186096
baseline,4,1081,467,314,0.713776,0.188857
baseline,256,1081,467,314,0.853407,11.566408
baseline,256,1081,467,314,0.841429,11.260049
baseline,256,1081,467,314,0.801016,11.363853
baseline,256,1081,467,314,0.822336,11.300779
baseline,256,1081,467,314,0.875279,11.551928
baseline,256,1081,467,314,0.939457,11.353645
baseline,256,1081,467,314,1.000000,11.359269
baseline,256,1081,467,314,1.000000,11.352290
baseline,256,1081,467,314,1.000000,11.387031
baseline,256,1081,467,314,0.992063,11.348332
baseline,256,1081,467,314,0.926314,11.383124
baseline,256,1081,467,314,0.880191,11.372395
baseline,256,1081,467,314,0.841650,11.367551
baseline,256,1081,467,314,0.801288,11.317342
baseline,256,1081,467,314,0.801854,11.447917
baseline,4,1081,467,314,0.951403,0.198388
baseline,4,1081,467,314,0.820573,0.195367
baseline,4,1081,467,314,0.748214,0.190368
baseline,4,1081,467,314,0.751951,0.181929
baseline,4,1081,467,314,0.768272,0.182398
baseline,4,1081,467,314,0.649177,0.181253
baseline,4,1081,467,314,0.720313,0.186513
baseline,4,1081,467,314,0.977334,0.181253
baseline,4,1081,467,314,0.935575,0.178335
baseline,4,1081,467,314,0.838479,0.186513
baseline,4,1081,467,314,0.846663,0.180158
baseline,4,1081,467,314,0.791098,0.179794
baseline,4,1081,467,314,0.722098,0.185471
baseline,4,1081,467,314,0.823881,0.181826
baseline,4,1081,467,314,0.804096,0.177138
baseline,4,1081,467,314,0.776148,0.180003
baseline,4,1081,467,314,0.675758,0.182399
baseline,4,1081,467,314,0.822271,0.182555
baseline,4,1081,467,314,0.720941,0.180940
baseline,4,1081,467,314,0.712761,0.177867
baseline,4,1081,467,314,0.685230,0.179742
baseline,4,1081,467,314,0.770782,0.181253
baseline,4,1081,467,314,0.802859,0.183804
baseline,4,1081,467,314,0.614924,0.206045
baseline,4,1081,467,314,0.752256,0.183804
baseline,4,1081,467,314,0.783653,0.182034
baseline,4,1081,467,314,0.507341,0.178492
baseline,4,1081,467,314,0.715830,0.188180
baseline,4,1081,467,314,0.645267,0.185003
baseline,4,1081,467,314,0.699309,0.186253
baseline,4,1081,467,314,0.670033,0.182502
baseline,256,1081,467,314,0.852664,11.602606
baseline,256,1081,467,314,0.842528,11.347759
baseline,256,1081,467,314,0.800838,11.379790
baseline,256,1081,467,314,0.819572,11.255153
baseline,256,1081,467,314,0.872159,11.566981
baseline,256,1081,467,314,0.941478,11.292810
baseline,256,1081,467,314,1.000000,11.314842
baseline,256,1081,467,314,1.000000,11.365676
baseline,256,1081,467,314,1.000000,11.366821
baseline,256,1081,467,314,0.991885,11.364374
baseline,256,1081,467,314,0.927057,11.376718
baseline,256,1081,467,314,0.878703,11.407499
baseline,256,1081,467,314,0.842394,11.440572
baseline,256,1081,467,314,0.802775,11.281560
baseline,256,1081,467,314,0.800577,11.304582
baseline,4,1081,467,314,0.728080,0.186669
baseline,4,1081,467,314,0.678870,0.188544
baseline,4,1081,467,314,0.518253,0.184638
baseline,4,1081,467,314,0.483735,0.194534
baseline,4,1081,467,314,0.621813,0.177815
baseline,4,1081,467,314,0.518848,0.177190
baseline,4,1081,467,314,0.515325,0.171461
baseline,4,1081,467,314,0.571370,0.182920
baseline,4,1081,467,314,0.459614,0.178492
baseline,4,1081,467,314,0.470091,0.177190
baseline,4,1081,467,314,0.827212,0.187659
baseline,4,1081,467,314,0.792520,0.177815
baseline,4,1081,467,314,0.715423,0.178492
baseline,4,1081,467,314,0.734179,0.174065
baseline,4,1081,467,314,0.744721,0.174742
baseline,4,1081,467,314,0.649225,0.174430
baseline,4,1081,467,314,0.655403,0.175679
baseline,4,1081,467,314,0.950837,0.183857
baseline,4,1081,467,314,0.821672,0.182503
baseline,4,1081,467,314,0.748037,0.205419
baseline,4,1081,467,314,0.745646,0.174794
baseline,4,1081,467,314,0.773623,0.185211
baseline,4,1081,467,314,0.653462,0.178701
baseline,4,1081,467,314,0.720524,0.188284
baseline,4,1081,467,314,0.976768,0.176253
baseline,4,1081,467,314,0.936319,0.181148
baseline,4,1081,467,314,0.849391,0.185731
baseline,4,1081,467,314,0.857898,0.182190
baseline,4,1081,467,314,0.800102,0.179898
baseline,4,1081,467,314,0.806439,0.192450
baseline,4,1081,467,314,0.777359,0.181096
baseline,4,1081,467,314,0.823014,0.186461
baseline,4,1081,467,314,0.670196,0.182971
baseline,4,1081,467,314,0.719631,0.180524
baseline,4,1081,467,314,0.712017,0.181669
baseline,4,1081,467,314,0.684664,0.183231
baseline,4,1081,467,314,0.803069,0.184586
baseline,4,1081,467,314,0.614391,0.182034
baseline,4,1081,467,314,0.772125,0.182867
baseline,4,1081,467,314,0.756152,0.182294
baseline,4,1081,467,314,0.783653,0.179689
baseline,4,1081,467,314,0.507486,0.182086
baseline,4,1081,467,314,0.718416,0.191773
baseline,256,1081,467,314,0.853585,11.582398
baseline,256,1081,467,314,0.841429,11.315779
baseline,256,1081,467,314,0.802681,11.383644
baseline,256,1081,467,314,0.821980,11.275570
baseline,256,1081,467,314,0.873258,11.565522
baseline,256,1081,467,314,0.941688,11.323071
baseline,256,1081,467,314,1.000000,11.328383
baseline,256,1081,467,314,1.000000,11.330102
baseline,256,1081,467,314,1.000000,11.341873
baseline,256,1081,467,314,0.991885,11.363280
baseline,256,1081,467,314,0.926314,11.444323
baseline,256,1081,467,314,0.878703,11.461302
baseline,256,1081,467,314,0.842216,11.391978
