[Baseline] candidates=256, scan_points=1081, width=467, height=314, best_score=0.801288, time=11.466250 ms
[Baseline] candidates=256, scan_points=1081, width=467, height=314, best_score=0.802597, time=11.280310 ms
[Baseline] candidates=4, scan_points=1081, width=467, height=314, best_score=0.948639, time=0.189846 ms
[Baseline] candidates=4, scan_points=1081, width=467, height=314, best_score=0.822028, time=0.189117 ms
[Baseline] candidates=4, scan_points=1081, width=467, height=314, best_score=0.748780, time=0.188387 ms
[Baseline] candidates=4, scan_points=1081, width=467, height=314, best_score=0.751029, time=0.181097 ms
[Baseline] candidates=4, scan_points=1081, width=467, height=314, best_score=0.776920, time=0.177919 ms
[Baseline] candidates=4, scan_points=1081, width=467, height=314, best_score=0.660768, time=0.176617 ms
[Baseline] candidates=4, scan_points=1081, width=467, height=314, best_score=0.821472, time=0.183180 ms
[Baseline] candidates=4, scan_points=1081, width=467, height=314, best_score=0.787524, time=0.182347 ms
[Baseline] candidates=4, scan_points=1081, width=467, height=314, best_score=0.710250, time=0.179690 ms
[Baseline] candidates=4, scan_points=1081, width=467, height=314, best_score=0.733645, time=0.179534 ms
[Baseline] candidates=4, scan_points=1081, width=467, height= [RUNNING]  Bag Time: 1777606586.748416   Duration: 1.146808 / 96.405450                [RUNNING]  Bag Time: 1777606586.768281   Duration: 1.166673 / 96.405450                [RUNNING]  Bag Time: 1777606586.798986   Duration: 1.197377 / 96.405450                [RUNNING]  Bag Time: 1777606586.828509   Duration: 1.226900 / 96.405450                [RUNNING]  Bag Time: 1777606586.848255   Duration: 1.246646 / 96.405450                [RUNNING]  Bag Time: 1777606586.868839   Duration: 1.267231 / 96.405450                [RUNNING]  Bag Time: 1777606586.899636   Duration: 1.298028 / 96.405450               314, best_score=0.741391, time=0.178284 ms
[Baseline] candidates=4, scan_points=1081, width=467, height=314, best_score=0.724540, time=0.180367 ms
[Baseline] candidates=4, scan_points=1081, width=467, height=314, best_score=0.726974, time=0.179950 ms
[Baseline] candidates=4, scan_points=1081, width=467, height=314, best_score=0.982540, time=0.180419 ms
[Baseline] candidates=4, scan_points=1081, width=467, height=314, best_score=0.947442, time=0.183752 ms
[Baseline] candidates=4, scan_points=1081, width=467, height=314, best_score=0.856407, time=0.185471 ms
[Baseline] candidates=4, scan_points=1081, width=467, height=314, best_score=0.862328, time=0.179898 ms
[Baseline] candidates=4, scan_points=1081, width=467, height=314, best_score=0.805275, time=0.203596 ms
[Baseline] candidates=4, scan_points=1081, width=467, height=314, best_score=0.804063, time=0.184013 ms
[Baseline] candidates=4, scan_points=1081, width=467, height=314, best_score=0.777392, time=0.179117 ms
[Baseline] candidates=4, scan_points=1081, width=467, height=314, best_score=0.823402, time=0.182346 ms
[Baseline] candidates=4, scan_points=1081, width=467, height=314, best_score=0.678134, time=0.181305 ms
[Baseline] candidates=4, scan_points=1081, width=467, height=314, best_score=0.720020, time=0.179794 ms
[Baseline] candidates=4, scan_points=1081, width=467, height=314, best_score=0.712583, time=0.181513 ms
[Baseline] candidates=4, scan_points=1081, width=467, height=314, best_score=0.683565, time=0.175315 ms
[Baseline] candidates=4, scan_points=1081, width=467, height=314, best_score=0.801937, time=0.178179 ms
[Baseline] candidates=4, scan_points=1081, width=467, height=314, best_score=0.771559, time=0.178752 ms
[Baseline] candidates=4, scan_points=1081, width=467, height=314, best_score=0.617689, time=0.176148 ms
[Baseline] candidates=4, scan_points=1081, width=467, height=314, best_score=0.755764, time=0.180003 ms
[Baseline] candidates=4, scan_points=1081, width=467, height=314, best_score=0.782910, time=0.178180 ms
[Baseline] candidates=4, scan_points=1081, width=467, height=314, best_score=0.507907, time=0.179169 ms
[Baseline] candidates=256, scan_points=1081, width=467, height=314, best_score=0.853407, time=11.551668 ms
[Baseline] candidates=256, scan_points=1081, width=467, height=314, best_score=0.837565, time=11.292966 ms
[Baseline] candidates=256, scan_points=1081, width=467, height=314, best_score=0.802859, time=11.397290 ms
[Baseline] candidates=256, scan_points=1081, width=467, height=314, best_score=0.820881, time=11.366770 ms
[Baseline] candidates=256, scan_points=1081, width=467, height=314, best_score=0.875101, time=11.316612 ms
[Baseline] candidates=256, scan_points=1081, width=467, height=314, best_score=0.940201, time=11.389582 ms
[Baseline] candidates=256, scan_points=1081, width=467, height=314, best_score=1.000000, time=11.388540 ms
[Baseline] candidates=256, scan_points=1081, width=467, height=314, best_score=1.000000, time=11.348227 ms
[Baseline] candidates=256, scan_points=1081, width=467, height=314, best_score=1.000000, time=11.369478 ms
[Baseline] candidates=256, scan_points=1081, width=467, height=314, best_score=0.991319, time=11.360207 ms
[Baseline] candidates=256, scan_points=1081, width=467, height=314, best_score=0.927413, time=11.351926 ms
[Baseline] candidates=256, scan_points=1081, width=467, height=314, best_score=0.878703, time=11.407447 ms
[Baseline] candidates=256, scan_points=1081, width=467, height=314, best_score=0.842571, time=11.569324 ms
[Baseline] candidates=256, scan_points=1081, width=467, height=314, best_score=0.801288, time=11.493803 ms
[Baseline] candidates=256, scan_points=1081, width=467, height=314, best_score=0.803519, time=11.328332 ms
[Baseline] candidates=4, scan_points=1081, width=467, height=314, best_score=0.975669, time=0.195367 ms
[Baseline] candidates=4, scan_points=1081, width=467, height=314, best_score=0.934121, time=0.188596 ms
[Baseline] candidates=4, scan_points=1081, width=467, height=314, best_score=0.842731, time=0.191304 ms
